N° Série;Agence;"Bureau / 
Utilisateur";"Prestataire
Maintenance";Marque;Modèle;IP;IP local
XEX1931664;5;Comptoir;ESUS;KYOCERA;ECOSYS FS2020D;172.28.180.50;192.168.10.50
V1N4736562;6;Imprimante;ESUS;KYOCERA;ECOSYS FS2100DN;172.28.175.10;192.168.5.10
LW15683411;6;Fax;ESUS;KYOCERA;ECOSYS M2535DN;172.28.175.50;192.168.5.50
R4X8500731;6;cvo;ASI;KYOCERA;ECOSYS M3645dn;172.28.175.52;192.168.5.52
RCH8601278;6;cvo;ASI;KYOCERA;ECOSYS P6235cdn;172.28.175.53;192.168.5.53
R277Z00222;9;cvo;ASI;KYOCERA;ECOSYS P6235cdn;172.28.194.58 ;192.168.24.58
LW15Z09523;9;cvo fax;ESUS;KYOCERA;ECOSYS M2535DN;172.28.194.77 ;192.168.24.77
LW14Y52281;9;;ESUS;KYOCERA;ECOSYS M2535DN;172.28.194.50 ;192.168.24.50
R4E9500163;9;comptoir ;ASI;KYOCERA;ECOSYS P3150dn;172.28.194.51;
VM46Z07234;9;Gare;ESUS;KYOCERA;ECOSYS P3045DN;USB;USB
V1N4631324;10;;ESUS;KYOCERA;ECOSYS FS2100DN;172.28.176.50;192.168.6.50
R4X8602545;10;fax;ASI;KYOCERA;ECOSYS M3645DN;172.28.176.53;192.168.6.53
R4X8Z07551;10;CVO;ASI;KYOCERA;ECOSYS M3645DN;172.28.176.51;192.168.6.51
RCH8Y04453;10;CVO couleur;ASI;KYOCERA;ECOSYS P6235cdn;172.28.176.52;192.168.6.52
R4X0719103;11;bureau;ASI;KYOCERA; ECOSYS M3645dn;172.28.177.51;192.168.7.51
VM47956017;11;comptoir;ASI;KYOCERA;Ecosys P3045;172.28.177.50;192.168.7.50
VLW6Y05587;12;;ESUS;KYOCERA;ECOSYS P3055DN;172.28.181.50;192.168.11.50
QRD1370000;12;;ESUS;KYOCERA;ECOSYS FS1128MFP;172.28.181.52;192.168.11.52
V1N4736571;12;bureau;ESUS;KYOCERA;ECOSYS FS2100DN;172.28.181.51;192.168.11.51
XEX1931557;12;;ESUS;KYOCERA;ECOSYS FS2020D;;a tester
AA6T021004028;12;laure;AE;KONICA MINOLTA;KM_558e;172.28.181.65;192.168.11.65
CN54FKJ0J5;14;PrepaVO;;HP;Officejet Pro X451dw;172.28.193.51 ;192.168.23.51
RCH9809060;14;Vendeur CVO;ASI;KYOCERA;ECOSYS P6235cdn;172.28.193.52;192.168.23.52
NUH2Z18227;14;;ESUS;KYOCERA;ECOSYS FS2100DN;172.28.193.50 ;192.168.23.50
LSA5719961;14;;ESUS;KYOCERA;ECOSYS M3540DN;172.28.193.75 ;192.168.23.75
R4X9509942;14;Multifonction;ASI;KYOCERA;ECOSYS M3645DN;172.28.193.53;192.168.23.53
LSA7942775;15;;ASI;KYOCERA;ECOSYS M3540DN;172.28.179.51 ;192.168.9.51
LSA5719794;15;;ESUS;KYOCERA;ECOSYS M3540DN;172.28.179.50 ;192.168.9.50
R4X9509669;17;;ASI;KYOCERA;ECOSYS M3645dn;172.28.198.50;192.168.28.50
