Antony;1;Antony;92160;107 AV ARISTIDE BRIAND;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2630.1262804923444!2d2.3052057158346995!3d48.76038471555609!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47e67723e8d1a58b%3A0x385cf3dd7eda0484!2sAvis%20Location%20Voiture%20-%20Antony!5e0!3m2!1sfr!2sfr!4v1660225827892!5m2!1sfr!2sfr
Auxerre;3;Auxerre;89000;3 RUE PAUL DAUMER;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1193.712577895466!2d3.5813911055537933!3d47.80482777990863!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47ee48cd80853031%3A0xb157ec4860237dd6!2sPremium%20II%20Automobiles!5e0!3m2!1sfr!2sfr!4v1660228747158!5m2!1sfr!2sfr
Blois;5;Blois;41000;58-60 AV DE VENDOME;https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d10761.690760138716!2d1.3221245!3d47.5984701!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xd40b001025b9757d!2sAvis%20Location%20Voiture%20-%20Blois!5e0!3m2!1sfr!2sfr!4v1660225787037!5m2!1sfr!2sfr
Bourges;5;Bourges;18000;11 CHEMIN DE LA PRAIRIE;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2716.5273926451546!2d2.380801415790816!3d47.08873083160067!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47fa95e005588c15%3A0xda060c25bdf9ccdb!2sAvis%20Location%20Voiture%20-%20Gare%20Bourges!5e0!3m2!1sfr!2sfr!4v1660228277872!5m2!1sfr!2sfr
Chartres;5;Chartres;28000;9 RUE CHARLES COULOMBS;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2669.21056519626!2d2.7376476158147987!3d48.0096416680415!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47ef807edbe8a2c3%3A0xd57e0e87dd66f53d!2sAvis%20Location%20Voiture%20-%20Montargis!5e0!3m2!1sfr!2sfr!4v1660228392186!5m2!1sfr!2sfr
Chateaudun;3;Chateaudun;28200;24 RUE DU VAL SAINT AIGNAN;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10586.818217087683!2d1.491967593911268!3d48.44300990228605!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47e40c40b55f9d3f%3A0x6b030cec48936014!2sAvis%20Location%20Voiture%20-%20Chartres!5e0!3m2!1sfr!2sfr!4v1660228484060!5m2!1sfr!2sfr
Chateauroux;3;Chateauroux;36000;25 RUE ROBERT MALLET_STEVENS;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2666.1990024891975!2d1.3238419174438476!3d48.06780159999998!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47e37f8b7ef1bc13%3A0x5e58a428fda17609!2sAvis%20Location%20Voiture%20-%20Ch%C3%A2teaudun!5e0!3m2!1sfr!2sfr!4v1660228951627!5m2!1sfr!2sfr
Clermont-Ferrand;5;Clermont-Ferrand;63100;3 RUE BERNARD PALISSY;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d542.0305768451586!2d1.7066117206503102!3d46.7912521!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47fba75491498d6d%3A0x8010b7418cac1e89!2sAvis%20Location%20Voiture%20-%20Ch%C3%A2teauroux!5e0!3m2!1sfr!2sfr!4v1660229057980!5m2!1sfr!2sfr
Clermont-Ferrand Gare;1;Clermont-Ferrand;63100;PARKING SNCF, RUE PIERRE SEMARD;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d11129.446186970064!2d3.109589142808967!3d45.78398402958075!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47f71bf97c6dd0f1%3A0x2d3d4617f388d13d!2sAvis%20Location%20Voiture%20-%20Gare%20Clermont%20Ferrand!5e0!3m2!1sfr!2sfr!4v1660918847276!5m2!1sfr!2sfr
Dreux;5;Dreux;28100;3 RUE DES LIVRAINDIERES;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d11129.446186970064!2d3.109589142808967!3d45.78398402958075!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47f71ecd5a855f51%3A0xb23c1fe0daa6b539!2sAvis%20Clermont-Ferrand!5e0!3m2!1sfr!2sfr!4v1660229182557!5m2!1sfr!2sfr
