code_agence;libelle_agence;mois;Transaction_Owned;%_local_Owned;%_Intercity_Owned;T+K_Owned;Rev/Trans_Owned;Rve/Day_Owned;Nb_Jours_Loc_Owned;Duree_Owned;RPU_Owned;Util_Owned;Car_Days_Owned;Flotte_Moyenne_Owned;Departs_Owned;Transaction_Foreign;%_local_Foreign;%_Intercity_Foreign;T+K_Foreign;Rev/Trans_Foreign;Rve/Day_Foreign;Nb_Jours_Loc_Foreign;Duree_Foreign;RPU_Foreign;Util_Foreign;Car_Days_Foreign;Flotte_Moyenne_Foreign;Departs_Foreign;Transaction_Combined;%_local_Combined;%_Intercity_Combined;T+K_Combined;Rev/Trans_Combined;Rve/Day_Combined;Nb_Jours_Loc_Combined;Duree_Combined;RPU_Combined;Util_Combined;Car_Days_Combined;Flotte_Moyenne_Combined;Departs_Combined;CDW_Combined;TP_Combined;PAI_Combined;OW_FEE_Combined
03994;CHARTRES DT;07-2022;287;96,8;3,2;86 364;300,92;31,2;2 768;9,65;;66,5;4 162;149;259;19;52,6;47,4;1 591;83,74;64,62;24;1,3;915;39,7;62;2;20;306;94,1;5,9;87 955;287,43;31,49;2 792;9,13;669;66,1;4 224;151;279;3 568;3;930;1 028
03683;CHARTRES GARE F;07-2022;7;85,7;14,3;2 328;332,57;26,78;86;12,42;;110;79;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;7;85,7;14,3;2 328;332,57;26,78;86;12,42;889;110;79;3;6;0;0;0;10
01909;NOGENT ROTROU F;07-2022;24;100;0;3 933;163,88;36,11;108;4,54;;26,6;409;15;21;1;0;100;65;65;78,31;0;0,83;0;13,8;6;0;1;25;96;4;3 998;159,92;36,43;109;4,39;306;26,4;415;15;22;229;0;168;95
05979;CHATEAUDUN DT F;07-2022;14;100;0;7 375;526,79;41,38;178;12,73;;55,5;321;11;14;3;66,6;33,4;62;20,67;38,27;1;0,54;0;12,5;13;0;2;17;94,1;5,9;7 437;437,47;41,35;179;10,58;710;53,8;334;12;16;123;0;90;35
02242;ETAMPES DT;07-2022;143;95,8;4,2;45 962;321,41;29,56;1 555;10,87;;70,1;2 219;79;148;8;87,5;12,5;578;72,25;40,7;14;1,78;0;109,2;13;0;6;151;95,3;4,7;46 540;308,21;29,66;1 569;10,39;668;70,3;2 232;80;154;1 213;0;731;534
55652;IMPLANT FAURECIA;07-2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05832;PITHIVIERS DT;07-2022;38;97,3;2,7;7 973;209,82;33,46;238;6,27;;69,9;341;12;27;2;50;50;62;31;51,67;1;0,6;0;120;1;0;3;40;95;5;8 035;200,88;33,55;239;5,99;770;70;342;12;30;0;0;188;240
04011;DREUX DT FR;07-2022;147;97,2;2,8;45 452;309,2;31,35;1 449;9,86;;62,8;2 309;82;151;10;60;40;762;76,2;26,86;28;2,84;868;81,1;35;1;8;157;94,9;5,1;46 214;294,36;31,27;1 478;9,41;632;63;2 344;84;159;5 045;0;597;528
01016;DREUX GARE;07-2022;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0
04098;RAMBOUILLET DT;07-2022;181;97,7;2,3;64 404;355,82;31,19;2 064;11,41;;70,1;2 946;105;174;6;50;50;144;24;43,37;3;0,55;0;41,5;8;0;4;187;96,2;3,8;64 548;345,18;31,21;2 068;11,06;699;70;2 954;106;178;2 727;0;554;232
04091;RUNGIS HALLES;07-2022;342;97,6;2,4;213 149;623,24;36,79;5 794;16,94;;65,8;8 806;315;406;9;88,8;11,2;214;23,78;44,77;4;0,53;0;47,8;10;0;7;351;97,4;2,6;213 363;607,87;36,79;5 798;16,52;778;65,7;8 816;315;413;6 514;40;374;466
03990;CHEVILLY;07-2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04104;RUNGIS DT;07-2022;320;99,3;0,7;136 558;426,74;31,77;4 298;13,43;;72,8;5 902;211;336;2;100;0;471;235,5;16,13;29;14,6;0;0;0;0;0;322;99,3;0,7;137 029;425,56;31,66;4 328;13,44;746;73,3;5 902;211;336;3 286;0;816;15
05827;MASSY GARE TGV;07-2022;715;93,4;6,6;127 093;177,75;55,11;2 306;3,23;;61,2;3 769;135;740;49;55,1;44,9;3 012;61,47;75,79;39;0,81;868;32,8;121;4;43;764;90,9;9,1;130 105;170,29;55,46;2 346;3,07;1 075;60,3;3 890;139;783;6 211;0;1 179;3 313
03695;ULIS VILLEBON;07-2022;345;99,1;0,9;137 713;399,17;24,93;5 523;16,01;;75,3;7 331;262;340;4;75;25;141;35,25;35,25;4;1;0;133,3;3;0;3;349;98,8;1,2;137 854;395;24,94;5 527;15,84;604;75,3;7 334;262;343;4 280;0;1 687;182
04697;ANTONY DT FR;07-2022;147;98,6;1,4;53 020;360,68;33,03;1 605;10,92;;65;2 468;88;164;3;100;0;1 224;408,00;61,08;20;6,68;0;4;1;0;2;150;98,6;1,4;54 244;361,63;33,38;1 625;10,84;708;65,8;2 469;88;166;5 259;0;456;61
04081;ORLEANS DT;07-2022;496;97,7;2,3;123 900;249,8;37,08;3 341;6,74;;44,4;7 526;269;528;34;44,1;55,9;1 497;44,03;47,39;31;0,93;568;32,9;96;3;32;530;94,3;5,7;125 397;236,6;37,18;3 372;6,36;529;44,2;7 622;272;560;3 251;2;1 096;1 850
00467;ORLEANS GARE;07-2022;88;93,1;6,9;15 732;178,77;65,92;238;2,71;;32,9;726;26;96;6;16,6;83,4;997;166,17;59,13;16;2,81;574;34,4;49;2;9;94;88,2;11,8;16 729;177,97;65,47;255;2,72;686;32,9;775;28;105;968;0;55;595
50040;ORLEANS SUD DT;07-2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04230;CHATEAUNEUF;07-2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03967;BLOIS DT;07-2022;164;96,3;3,7;53 282;324,89;32,37;1 646;10,04;;78,4;2 101;75;155;36;50;50;5 860;162,78;62,94;93;2,59;1 345;68,5;136;5;30;200;88;12;59 142;295,71;34;1 739;8,7;849;77,7;2 237;80;185;2 004;36;891;1 769
00475;BLOIS GARE;07-2022;32;90,6;9,4;6 216;194,25;48,13;129;4,04;;46,8;276;10;32;2;50;50;199;99,5;95,67;2;1,04;0;16;13;0;2;34;88,2;11,8;6 415;188,68;48,88;131;3,86;738;45,4;289;10;34;325;0;35;308
